"Year","TeamId","Team","Classification","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties","NeutralSiteGames Games","NeutralSiteGames Wins","NeutralSiteGames Losses","NeutralSiteGames Ties","RegularSeason Games","RegularSeason Wins","RegularSeason Losses","RegularSeason Ties","Postseason Games","Postseason Wins","Postseason Losses","Postseason Ties"
"2023","359","Otterbein","iii","Ohio","","","10","0","10","0","9","0","9","0","5","0","5","0","5","0","5","0","0","0","0","0","10","0","10","0","0","0","0","0"
"2023","204","Oregon State","fbs","Pac-12","","9.343547327423035","13","8","5","0","9","5","4","0","6","5","1","0","6","3","3","0","1","0","1","0","12","8","4","0","1","0","1","0"
"2023","2483","Oregon","fbs","Pac-12","","12.653452222109038","14","12","2","0","10","8","2","0","7","7","0","0","5","4","1","0","2","1","1","0","13","11","2","0","1","1","0","0"
"2023","354","Olivet College","iii","Michigan","","","10","4","6","0","6","2","4","0","5","2","3","0","5","2","3","0","0","0","0","0","10","4","6","0","0","0","0","0"
"2023","145","Ole Miss","fbs","SEC","West","9.354529777476506","13","11","2","0","8","6","2","0","7","7","0","0","5","3","2","0","1","1","0","0","12","10","2","0","1","1","0","0"
"2023","295","Old Dominion","fbs","Sun Belt","East","5.413422875992956","13","6","7","0","8","5","3","0","6","4","2","0","6","2","4","0","1","0","1","0","12","6","6","0","1","0","1","0"
"2023","197","Oklahoma State","fbs","Big 12","","5.77052764029184","14","10","4","0","10","7","3","0","7","6","1","0","5","3","2","0","2","1","1","0","13","9","4","0","1","1","0","0"
"2023","2824","Oklahoma Panhandle St","ii","Independent DII","","","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0"
"2023","319","Oklahoma Baptist","ii","Great American","","","11","6","5","0","11","6","5","0","5","4","1","0","6","2","4","0","0","0","0","0","11","6","5","0","0","0","0","0"
"2023","201","Oklahoma","fbs","Big 12","","10.88962520047889","13","10","3","0","9","7","2","0","6","6","0","0","5","3","2","0","2","1","1","0","12","10","2","0","1","0","1","0"
"2023","2980","Ohio Wesleyan","iii","North Coast","","","10","5","5","0","8","4","4","0","5","2","3","0","5","3","2","0","0","0","0","0","10","5","5","0","0","0","0","0"
"2023","194","Ohio State","fbs","Big Ten","East","10.130952321332964","13","11","2","0","9","8","1","0","6","6","0","0","6","5","1","0","1","0","1","0","12","11","1","0","1","0","1","0"
"2023","427","Ohio Northern","iii","Ohio","","","10","4","6","0","9","4","5","0","5","2","3","0","5","2","3","0","0","0","0","0","10","4","6","0","0","0","0","0"
"2023","2477","Ohio Dominican","ii","Great Midwest Athletic","","","11","4","7","0","8","3","5","0","5","3","2","0","5","1","4","0","1","0","1","0","11","4","7","0","0","0","0","0"
